The United States of America, Life expectancy at birth (period, 1x5)	Last modified: 17 Mar 2021;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1933-1934     62.55    58.74    60.54
1935-1939     63.76    59.57    61.55
1940-1944     66.75    61.92    64.22
1945-1949     69.51    64.17    66.72
1950-1954     71.68    65.75    68.58
1955-1959     72.97    66.58    69.64
1960-1964     73.58    66.80    70.06
1965-1969     74.14    66.74    70.33
1970-1974     75.18    67.52    71.27
1975-1979     77.03    69.37    73.18
1980-1984     77.92    70.66    74.32
1985-1989     78.34    71.29    74.85
1990-1994     79.00    72.15    75.62
1995-1999     79.30    73.39    76.40
2000-2004     79.67    74.45    77.12
2005-2009     80.54    75.51    78.08
2010-2014     81.29    76.49    78.93
2015-2019     81.46    76.44    78.96
